match_id,summoner_name,champion,kills,deaths,assists,gold_earned,cs_per_min,damage_done,damage_taken,win
LA1_1564830960,,Milio,0,2,18,7275,1.0,3775,6558,True
LA1_1564814562,Gláurung,Riven,0,7,5,7585,4.62962962962963,9561,21390,False
LA1_1564814562,xDerJäger,Jhin,6,4,5,10478,7.074074074074074,12308,14651,False
LA1_1564814562,NutriaEsclava,Ahri,6,6,4,9377,5.185185185185185,28135,21356,False
LA1_1564814562,Kyriuuh,Leona,2,9,8,6892,1.2592592592592593,11511,24956,False
LA1_1564814562,ImOdraude,Nocturne,5,8,3,9266,0.07407407407407407,15454,37236,False
LA1_1564814562,BRAYAN 135,Gragas,2,6,14,9254,4.37037037037037,14501,22096,True
LA1_1564814562,,MonkeyKing,7,2,14,11705,0.4074074074074074,18533,39148,True
LA1_1564814562,Boborote,Aurora,9,5,13,11736,4.962962962962963,28759,30669,True
LA1_1564814562,MergedRocketVZ,Aphelios,16,2,4,15311,7.333333333333333,32159,14554,True
LA1_1564814562,AMSTRONG,Nami,0,4,19,7092,0.8148148148148148,5503,12870,True
LA1_1532137334,Kopyman,Teemo,12,7,15,22890,5.627450980392157,67308,52065,True
LA1_1532137334,Sun Grace,Lillia,9,12,20,23798,2.1176470588235294,55429,81111,True
LA1_1532137334,A C O S T I ,Yone,7,15,13,17055,3.823529411764706,29879,59538,True
LA1_1532137334,Zinner Zelda,Smolder,21,9,15,26958,6.882352941176471,85504,59090,True
LA1_1532137334,komaromero,Lux,7,13,13,16027,2.450980392156863,36632,41915,True
LA1_1532137334,S Q U Ä N C H Y ,Illaoi,6,13,8,16723,4.588235294117647,41965,99417,False
LA1_1532137334,BRAYAN 135,LeeSin,18,11,19,21084,0.7843137254901961,44991,66997,False
LA1_1532137334,SkollOne,Syndra,16,12,10,22407,6.196078431372549,61317,52764,False
LA1_1532137334,Tsumugi22,Jhin,8,11,16,22341,6.392156862745098,50364,58831,False
LA1_1532137334,Flagoot,Zyra,8,9,15,16365,1.6666666666666667,43069,45286,False
LA1_1517357770,Sra Demencia ,Sett,3,5,9,13616,5.578947368421052,19153,40253,True
LA1_1517357770,imluky,Elise,11,6,15,15759,0.7631578947368421,21498,42306,True
LA1_1517357770,Vicio inherente,Brand,16,8,11,16410,5.026315789473684,46876,27732,True
LA1_1517357770,Adc Autofill,Jhin,20,7,13,21144,7.026315789473684,54068,35282,True
LA1_1517357770,XXHomyXX,Nami,1,6,35,12083,0.8421052631578947,11041,24844,True
LA1_1517357770,Sypher ,Malphite,3,9,6,12505,6.026315789473684,24692,45403,False
LA1_1517357770,BRAYAN 135,LeeSin,3,14,11,10622,0.3157894736842105,15313,39961,False
LA1_1517357770,Xnova023,Qiyana,16,12,4,18257,6.368421052631579,48301,49369,False
LA1_1517357770,Spotted Toad,Caitlyn,7,4,7,14804,6.7105263157894735,27561,24119,False
LA1_1517357770,cayaaemis,Velkoz,3,12,10,9851,1.3157894736842106,20688,25600,False
LA1_1517345602,DiegooGo,Sylas,10,6,3,10436,4.52,21865,28800,False
LA1_1517345602,,Shaco,4,6,7,8521,1.32,7849,15820,False
LA1_1517345602,udrrrrrr,Yone,5,7,4,8953,5.32,15017,21469,False
LA1_1517345602,YENTI TACAWUA,Caitlyn,1,3,2,7786,6.44,8838,14047,False
LA1_1517345602,SaintGrial,Lulu,1,8,7,5630,1.08,7059,15317,False
LA1_1517345602,JhonnyAguacate,Darius,9,6,4,11659,5.64,19770,24067,True
LA1_1517345602,BRAYAN 135,LeeSin,6,6,9,9627,0.16,15305,25500,True
LA1_1517345602,MELOSGUELI,Malzahar,5,5,9,10651,7.12,17277,11649,True
LA1_1517345602,Spotted Toad,Jhin,9,1,2,11633,6.88,17055,8506,True
LA1_1517345602,LederSayam,TahmKench,1,3,16,7934,1.12,8510,19154,True
LA1_1516008376,BRAYAN 135,Vayne,0,2,2,4232,3.9411764705882355,6573,6811,True
LA1_1516008376,T1 2023,XinZhao,16,2,1,9363,0.8823529411764706,16666,19790,True
LA1_1516008376,piiroo,Cassiopeia,6,3,3,6370,5.411764705882353,9230,8518,True
LA1_1516008376,Spotted Toad,Jhin,7,1,10,8307,5.764705882352941,11229,7697,True
LA1_1516008376, TE BUSCA EL SAT,Lux,4,3,12,6330,1.2352941176470589,12013,6447,True
LA1_1516008376,tbk27,TahmKench,2,4,1,5200,5.705882352941177,8786,15681,False
LA1_1516008376,chetosmorad0s,MasterYi,2,7,2,5827,0.29411764705882354,6193,16474,False
