match_id,summoner_name,champion,kills,deaths,assists,gold_earned,cs_per_min,damage_done,damage_taken,win
LA1_1564814562,Gláurung,Riven,0,7,5,7585,4.62962962962963,9561,21390,False
LA1_1564814562,xDerJäger,Jhin,6,4,5,10478,7.074074074074074,12308,14651,False
LA1_1564814562,NutriaEsclava,Ahri,6,6,4,9377,5.185185185185185,28135,21356,False
LA1_1564814562,Kyriuuh,Leona,2,9,8,6892,1.2592592592592593,11511,24956,False
LA1_1564814562,ImOdraude,Nocturne,5,8,3,9266,0.07407407407407407,15454,37236,False
LA1_1564814562,BRAYAN 135,Gragas,2,6,14,9254,4.37037037037037,14501,22096,True
LA1_1564814562,,MonkeyKing,7,2,14,11705,0.4074074074074074,18533,39148,True
LA1_1564814562,Boborote,Aurora,9,5,13,11736,4.962962962962963,28759,30669,True
LA1_1564814562,MergedRocketVZ,Aphelios,16,2,4,15311,7.333333333333333,32159,14554,True
LA1_1564814562,AMSTRONG,Nami,0,4,19,7092,0.8148148148148148,5503,12870,True
LA1_1532137334,Kopyman,Teemo,7,3,3,10488,5.5,21718,19355,True
LA1_1532137334,Sun Grace,Lillia,2,7,11,10193,1.0714285714285714,15812,39048,True
LA1_1532137334,A C O S T I ,Yone,3,7,7,7772,3.6785714285714284,10300,21927,True
LA1_1532137334,Zinner Zelda,Smolder,7,3,5,11386,7.035714285714286,21831,16577,True
LA1_1532137334,komaromero,Lux,3,6,7,8324,2.6785714285714284,14819,16835,True
LA1_1532137334,S Q U Ä N C H Y ,Illaoi,3,5,4,10116,6.714285714285714,18577,29323,False
LA1_1532137334,BRAYAN 135,LeeSin,11,4,7,11762,0.8214285714285714,17767,25726,False
LA1_1532137334,SkollOne,Syndra,5,5,6,9446,5.464285714285714,21230,19244,False
LA1_1532137334,Tsumugi22,Jhin,4,5,6,12229,7.321428571428571,13575,20159,False
LA1_1532137334,Flagoot,Zyra,3,3,7,8419,1.1428571428571428,15294,15784,False
LA1_1517357770,Sra Demencia ,Sett,3,3,6,8627,5.535714285714286,12473,24614,True
LA1_1517357770,imluky,Elise,8,5,12,10652,0.4642857142857143,14555,25887,True
LA1_1517357770,Vicio inherente,Brand,9,6,10,11093,5.642857142857143,28394,16311,True
